start_lat,start_lng,end_lat,end_lng,distance,duration,traffic_duration,steps
12.9716,77.5946,12.2958,76.6394,143160,9276,8545,20
12.9716,77.5946,12.2958,76.6394,143472,9397,8622,20
12.9716,77.5946,12.9141,74.856,348007,25717,25025,27
12.9716,77.5946,12.9141,74.856,391393,28940,26994,18
12.9716,77.5946,12.9141,74.856,412907,32572,31301,37
12.9716,77.5946,13.0827,80.2707,324581,24787,22897,58
12.9716,77.5946,13.0827,80.2707,333582,25428,24051,64
12.9716,77.5946,13.0827,80.2707,345813,25519,24443,48
12.9716,77.5946,11.0168,76.9558,314825,23926,22897,28
12.9716,77.5946,11.0168,76.9558,346151,25349,23251,62
12.9716,77.5946,11.0168,76.9558,317371,24278,23542,28
12.9716,77.5946,9.9252,78.1198,417258,28053,25951,59
12.9716,77.5946,8.7139,77.7567,564478,35239,33201,69
12.9716,77.5946,8.7139,77.7567,640766,43401,41670,54
12.9716,77.5946,11.6643,78.146,183956,14883,13310,41
12.9716,77.5946,11.6643,78.146,201123,15012,14171,30
12.9716,77.5946,10.7905,78.7047,325344,24581,22656,63
12.9716,77.5946,10.7905,78.7047,365192,26165,23957,69
12.9716,77.5946,10.7905,78.7047,393276,26557,25175,48
12.9716,77.5946,8.5241,76.9366,719047,47137,45646,84
12.9716,77.5946,8.5241,76.9366,795335,55299,53669,69
12.9716,77.5946,9.9312,76.2673,530509,38414,37105,88
12.9716,77.5946,9.9312,76.2673,509962,38139,37864,64
12.9716,77.5946,11.2588,75.7804,377486,30488,29100,44
12.9716,77.5946,11.9139,79.8145,319710,22114,20458,50
12.9716,77.5946,11.9139,79.8145,341918,25317,23366,53
12.9716,77.5946,11.9139,79.8145,362286,26857,25823,63
12.9716,77.5946,17.385,78.4867,569120,33836,33080,36
12.9716,77.5946,17.385,78.4867,661450,42747,42149,54
12.9716,77.5946,17.385,78.4867,666647,44329,44352,58
12.9716,77.5946,17.9784,79.5941,724174,41810,41060,52
12.9716,77.5946,17.9784,79.5941,742915,53868,52671,68
12.9716,77.5946,17.9784,79.5941,853133,53688,52701,60
12.9716,77.5946,18.6725,78.0941,766312,44578,43565,43
12.9716,77.5946,18.6725,78.0941,858642,53489,52601,61
12.9716,77.5946,18.6725,78.0941,863839,55071,54681,65
12.9716,77.5946,17.2473,80.1514,755685,43423,42429,52
12.9716,77.5946,17.2473,80.1514,786722,47586,46519,57
12.9716,77.5946,17.2473,80.1514,683075,49872,48709,73
12.9716,77.5946,18.4386,79.1288,756591,43240,42327,49
12.9716,77.5946,18.4386,79.1288,848921,52151,51146,67
12.9716,77.5946,18.4386,79.1288,854118,53733,53346,71
12.9716,77.5946,16.7445,77.9844,478792,28030,27534,28
12.9716,77.5946,16.7445,77.9844,571122,36941,35905,46
12.9716,77.5946,19.6667,78.5333,896724,51275,50019,39
12.9716,77.5946,18.7557,79.4748,814903,47068,46172,49
12.9716,77.5946,18.7557,79.4748,907233,55979,54897,67
12.9716,77.5946,18.7557,79.4748,912430,57561,57191,71
12.9716,77.5946,16.5062,80.648,659317,39459,38591,50
12.9716,77.5946,16.5062,80.648,631599,42175,40450,60
12.9716,77.5946,16.5062,80.648,836972,48588,47448,58
12.9716,77.5946,17.6868,83.2185,1003438,61489,60758,56
12.9716,77.5946,17.6868,83.2185,975720,64205,63191,66
12.9716,77.5946,17.6868,83.2185,1179035,69940,69064,67
12.9716,77.5946,16.3067,80.4365,622791,37576,36834,47
12.9716,77.5946,16.3067,80.4365,595073,40292,38696,57
12.9716,77.5946,16.3067,80.4365,583486,43068,41811,50
12.9716,77.5946,13.6288,79.4192,247605,16442,15726,38
12.9716,77.5946,13.6288,79.4192,259920,16858,16217,33
12.9716,77.5946,13.6288,79.4192,255240,20486,18948,46
12.9716,77.5946,17.0005,81.804,817734,49452,48613,57
12.9716,77.5946,17.0005,81.804,790016,52168,50587,67
12.9716,77.5946,17.0005,81.804,993331,57903,56425,68
12.9716,77.5946,16.9891,82.2475,874463,54092,53277,63
12.9716,77.5946,16.9891,82.2475,846745,56808,55231,73
12.9716,77.5946,16.9891,82.2475,1050060,62543,61331,74
12.9716,77.5946,14.4426,79.9865,380967,24167,23459,43
12.9716,77.5946,14.4426,79.9865,449501,29663,28955,40
